,iteration,vertex_count,mean,deviation
0,10,5,0.138,0.3029125286283154
1,10,10,0.06599999999999999,0.29264996155817274
2,10,20,0.02800000000000001,0.3072718665937381
3,10,30,-0.05800000000000002,0.28184392844267553
4,10,50,-0.019999999999999993,0.290516780926679
5,100,5,0.1866,0.09234955332864367
6,100,10,0.034600000000000006,0.09789198128549652
7,100,20,-0.023399999999999997,0.10178624661514932
8,100,30,-0.0216,0.10212462974229088
9,100,50,0.0010000000000000009,0.10849423947841655
10,1000,5,0.16628,0.030269482982039846
11,1000,10,0.03398,0.03537738825860382
12,1000,20,-0.0064600000000000005,0.033536672464631906
13,1000,30,-0.018520000000000002,0.02953184044383282
14,1000,50,-0.0104,0.0325330601081423
15,10000,5,0.16611,0.008084720155948502
16,10000,10,0.030292000000000003,0.008750699172066195
17,10000,20,-0.005342,0.00986538575018737
18,10000,30,-0.013939999999999998,0.009871109360147927
19,10000,50,-0.014772,0.010060577319418604
