,iteration,vertex_count,mean,deviation
0,10,5,0.176,0.31658174299855013
1,10,6,-0.148,0.3067507131206054
2,10,7,-0.132,0.324
3,10,8,-0.034,0.28573414216715515
4,10,9,0.004000000000000001,0.3032886413962778
5,100,5,0.17279999999999998,0.10923442680766902
6,100,6,-0.1402,0.10355655459699303
7,100,7,-0.14640000000000003,0.09134024304762935
8,100,8,-0.0374,0.09763831215255618
9,100,9,0.0294,0.08896988254460046
10,1000,5,0.16670000000000001,0.03086016850245636
11,1000,6,-0.13387999999999997,0.028632596808532754
12,1000,7,-0.14514,0.030351612807229866
13,1000,8,-0.04487999999999999,0.032546975281890635
14,1000,9,0.02568,0.03133269219202206
15,10000,5,0.16721999999999998,0.009585802000876087
16,10000,6,-0.13273200000000002,0.010005327380950611
17,10000,7,-0.142584,0.008819055731766298
18,10000,8,-0.037506,0.009923928859075925
19,10000,9,0.025884,0.010510078210936396
